"","State","CongressMembers","PolsWhoSupport","SenatorsSupport","RepsSupport","GovsSupport","PolsWhoOppose","SenatorsOppose","RepsOppose","GovsOppose","TotalPols","PercOfPolsSupp","PercOfPolsOpp"
"1","Alabama",9,0,0,0,0,9,2,6,1,10,0,0.9
"2","Alaska",3,2,2,0,0,2,0,1,1,4,0.5,0.5
"3","Arizona",11,5,0,5,0,7,2,4,1,12,0.416666666666667,0.583333333333333
"4","Arkansas",6,0,0,0,0,7,2,4,1,7,0,1
"5","California",55,41,2,38,1,14,0,14,0,56,0.732142857142857,0.25
"6","Colorado",9,6,2,3,1,4,0,4,0,10,0.6,0.4
"7","Connecticut",7,8,2,5,1,0,0,0,0,8,1,0
"8","Delaware",3,4,2,1,1,0,0,0,0,4,1,0
"9","Florida",29,12,1,11,0,15,1,13,1,30,0.4,0.5
"10","Georgia",16,3,0,3,0,14,2,11,1,17,0.176470588235294,0.823529411764706
"11","Hawaii",4,5,2,2,1,0,0,0,0,5,1,0
"12","Idaho",4,0,0,0,0,5,2,2,1,5,0,1
"13","Illinois",20,13,2,10,1,8,0,8,0,21,0.619047619047619,0.380952380952381
"14","Indiana",11,3,1,2,0,7,1,5,1,12,0.25,0.583333333333333
"15","Iowa",6,3,1,2,0,4,1,2,1,7,0.428571428571429,0.571428571428571
"16","Kansas",6,0,0,0,0,7,2,4,1,7,0,1
"17","Kentucky",8,1,0,1,0,7,2,5,0,9,0.111111111111111,0.777777777777778
"18","Louisiana",8,1,1,0,0,7,1,5,1,9,0.111111111111111,0.777777777777778
"19","Maine",4,4,2,2,0,1,0,0,1,5,0.8,0.2
"20","Maryland",10,10,2,7,1,1,0,1,0,11,0.909090909090909,0.0909090909090909
"21","Massachusetts",11,12,2,9,1,0,0,0,0,12,1,0
"22","Michigan",16,7,2,5,0,9,0,8,1,17,0.411764705882353,0.529411764705882
"23","Minnesota",10,7,2,4,1,3,0,3,0,11,0.636363636363636,0.272727272727273
"24","Mississippi",6,0,0,0,0,6,2,3,1,7,0,0.857142857142857
"25","Missouri",10,4,1,2,1,7,1,6,0,11,0.363636363636364,0.636363636363636
"26","Montana",3,3,2,0,1,1,0,1,0,4,0.75,0.25
"27","Nebraska",5,0,0,0,0,5,2,2,1,6,0,0.833333333333333
"28","Nevada",6,3,1,2,0,4,1,2,1,7,0.428571428571429,0.571428571428571
"29","New Hampshire",4,4,1,2,1,1,1,0,0,5,0.8,0.2
"30","New Jersey",14,8,2,6,0,7,0,6,1,15,0.533333333333333,0.466666666666667
"31","New Mexico",5,4,2,2,0,2,0,1,1,6,0.666666666666667,0.333333333333333
"32","New York",29,25,2,22,1,6,0,6,0,30,0.833333333333333,0.2
"33","North Carolina",15,3,1,2,0,11,1,9,1,16,0.1875,0.6875
"34","North Dakota",3,1,1,0,0,2,1,1,0,4,0.25,0.5
"35","Ohio",18,6,2,4,0,13,0,12,1,19,0.315789473684211,0.684210526315789
"36","Oklahoma",7,0,0,0,0,8,2,5,1,8,0,1
"37","Oregon",7,7,2,4,1,1,0,1,0,8,0.875,0.125
"38","Pennsylvania",20,7,1,6,0,14,1,12,1,21,0.333333333333333,0.666666666666667
"39","Rhode Island",4,5,2,2,1,0,0,0,0,5,1,0
"40","South Carolina",9,1,0,1,0,8,2,5,1,10,0.1,0.8
"41","South Dakota",3,1,1,0,0,3,1,1,1,4,0.25,0.75
"42","Tennessee",11,2,0,2,0,9,2,6,1,12,0.166666666666667,0.75
"43","Texas",38,8,0,8,0,28,2,25,1,39,0.205128205128205,0.717948717948718
"44","Utah",6,0,0,0,0,7,2,4,1,7,0,1
"45","Vermont",3,4,2,1,1,0,0,0,0,4,1,0
"46","Virginia",13,6,2,3,1,8,0,8,0,14,0.428571428571429,0.571428571428571
"47","Washington",12,9,2,6,1,4,0,4,0,13,0.692307692307692,0.307692307692308
"48","West Virginia",5,1,1,0,0,3,0,3,0,6,0.166666666666667,0.5
"49","Wisconsin",10,4,1,3,0,7,1,5,1,11,0.363636363636364,0.636363636363636
"50","Wyoming",3,0,0,0,0,4,2,1,1,4,0,1
